block_hash,block_number,block_timestamp,transaction_hash,transaction_index,event_index,from_address,to_address,token_id,quantity,event_type
0x55590c71cc47110dc7d97bd1ef0bbae447687e5aaf5ac7ddc36492a59801751e,18909075,2024-01-01 00:37:11,0x83ccbe41e94322d09b9e818017e75fb4f99190aeb16f360783108eb7396864a0,21,44,0x45a318231946e6e3aa8900c69badff2de36d642a,0x09fa3f1cdb91cafb236e35a9eb83a16db28bb91a,,200000000000000.0,ERC-20
0x2b8a3e44fb528e6cd34c5d3782a88fdf84b84d863e66363a108b1e9df5e87c2b,18909392,2024-01-01 01:41:11,0xf0aac6411c081fa09fcdbd02842bf3657a8061bc03cb4fc4cd532faa7a387469,144,651,0x0000000000000000000000000000000000000000,0xc564dcfd1e7bea9baad00e742ad82ee5f9f02704,,1.1979233e+25,ERC-20
0x10c344255b1576c90f6709720700263f1c14e2099132a6921b178e93ceadeb14,18909265,2024-01-01 01:15:35,0x1a74c97f9387e23850b3d354d13983a6013ae967afe7e6f8c9e68dae47de9d80,140,617,0x0000000000000000000000000000000000000000,0x5615f86330e92ba74658159878b2dbf4c1188888,,4.561981e+24,ERC-20
0x07f810f880fc107bae6dfb7860cd588e006643dd77166779d048438017a0945b,18909195,2024-01-01 01:01:23,0x566fa3f38f6c52922d1f0fe47701f9e8b269df2749d727b7e412b50e8c741460,97,148,0x88297b7874075d5492bc9f22fc19041a95ab9f5f,0x0000000000000000000000000000000000000000,,9.8e+19,ERC-20
0x10c344255b1576c90f6709720700263f1c14e2099132a6921b178e93ceadeb14,18909265,2024-01-01 01:15:35,0x1a74c97f9387e23850b3d354d13983a6013ae967afe7e6f8c9e68dae47de9d80,140,480,0x0000000000000000000000000000000000000000,0xc1355ab38c0386c3d19f58d33d002ba6a5a41c45,,0.0,ERC-20
0x3bcc8bacbf0f109ffdb7a26e6bff74a8e94d5ad257af2a3ea91be193d31f8fce,18909258,2024-01-01 01:14:11,0x24df5119f0e876d3db1fc3906e1cacf9cb58e340d145ce05aa4c29d2418dcae5,80,186,0xdaf1695c41327b61b9b9965ac6a5843a3198cf07,0x7122985656e38bdc0302db86685bb972b145bd3c,,5.313162223430784e+17,ERC-20
0x2a1413d2c8599fb57576f4ac154dc65c428754cfb4fae0f72ceed4e9df280e56,18909044,2024-01-01 00:30:59,0x6150b9cb74d1e0f5b88a7518a7cfd44f54fe42b1ec838b148ced52f414ce0dbf,142,339,0x0000000000000000000000000000000000000000,0x2fb289289135222aaa593a415a168d44762e3191,,1.6177537e+25,ERC-20
0x2497f7575659c49a7de9bac44fd6786ecf351890d3718428556a25589ba39d88,18908941,2024-01-01 00:09:47,0x85fbb410747d480f4fb855934ef4bc6645300cdde5be618b393f0a6d68d29743,157,275,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xe83652a9fd663b0fc91c690500cda07c1675030c,,2.258378735501286e+17,ERC-20
0x3cb8ae13dbdee0cbb67af3f3abedd3ece2b0b0f3196488cc1bc2e171bf2353fd,18909055,2024-01-01 00:33:11,0x1f73b65a6a9d790b37a97e283a8ab20c65e29419c8807dfa091cb8f9ae26216f,21,5,0x082747e13132444925a5abcb7d9210144f011dc6,0x28c6c06298d514db089934071355e5743bf21d60,,1500000000.0,ERC-20
0x1f4701c9f169d7f8d3291037983e8b83dac58cb5057bce9a56db3b6afd483e20,18909275,2024-01-01 01:17:35,0xc39f5699a8384e5dd56bfc9cf5f1d5d16dc6ce5392fb14196ec592f711e4eb8a,238,794,0x0000000000000000000000000000000000000000,0xb84b3a7c5d325ebe5b5fc8482529b37d6298207d,,6.3935e+22,ERC-20
